City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,ciudad bolivar,8.1222,-63.5497,32.54,50,89,1.01,VE,1714943444
223,adrar,20.5022,-10.0711,31.65,8,0,3.04,MR,1714943445
224,dudinka,69.4058,86.1778,-12.96,88,45,4.47,RU,1714943445
225,nadi,-17.8,177.4167,27.0,83,75,1.54,FJ,1714943445
226,jiaojiang,28.6803,121.4428,18.72,98,95,0.76,CN,1714943446
227,sarigerme,36.7155,28.7044,16.73,51,0,3.6,TR,1714943446
228,cidreira,-30.1811,-50.2056,21.67,94,52,3.58,BR,1714943446
229,prince rupert,54.3161,-130.3201,9.05,93,100,3.6,CA,1714943447
230,palapag,12.5458,125.1147,25.75,82,21,2.06,PH,1714943447
231,iskateley,67.6803,53.1512,-7.21,88,86,1.79,RU,1714943447
232,kroya,-7.6331,109.2461,24.32,89,8,2.56,ID,1714943448
233,belyy yar,53.6039,91.3903,10.94,76,0,2.0,RU,1714943448
234,aniva,46.7144,142.5294,3.06,86,100,5.24,RU,1714943448
235,charters towers,-20.1,146.2667,19.89,84,77,2.16,AU,1714943449
236,kodinsk,58.6881,99.1844,10.8,87,100,2.71,RU,1714943236
237,manokwari,-0.8667,134.0833,26.19,83,100,1.6,ID,1714943449
238,seminole,28.7086,-81.2081,31.32,57,0,5.66,US,1714943450
239,mermoz boabab,14.7065,-17.4758,25.31,86,0,8.34,SN,1714943450
240,faya-largeau,17.9257,19.1043,32.98,14,0,5.16,TD,1714943169
241,arvayheer,46.2639,102.775,8.14,32,9,2.24,MN,1714943451
242,caledonia,42.8078,-87.9242,20.25,48,0,4.63,US,1714943451
243,harper,4.375,-7.7169,28.15,81,88,3.84,LR,1714943452
244,bardai,11.65,7.2333,31.01,22,0,3.04,NG,1714943452
245,strezhevoy,60.7333,77.5889,0.54,89,99,4.47,RU,1714943452
246,keokuk,40.3973,-91.3849,21.72,37,0,0.0,US,1714943453
247,wailua homesteads,22.0669,-159.378,26.24,76,75,8.23,US,1714943174
248,portland,45.5234,-122.6762,11.49,95,100,4.12,US,1714943433
249,saynshand,44.8824,110.1163,12.05,27,10,3.29,MN,1714943453
250,vorgashor,67.5833,63.95,-19.0,100,100,1.63,RU,1714943454
251,catemaco,18.4167,-95.1167,40.25,21,63,3.49,MX,1714943454
252,horta,38.5333,-28.6333,18.34,90,100,8.49,PT,1714943454
253,palmer,42.1584,-72.3287,10.34,82,100,3.09,US,1714943455
254,mount pearl,47.5166,-52.7813,4.92,80,36,1.79,CA,1714943455
255,nynashamn,58.9034,17.9479,6.76,90,99,6.82,SE,1714943456
256,trinidad,-14.8333,-64.9,31.99,70,20,3.6,BO,1714943191
257,fort bragg,35.139,-79.006,25.91,76,75,4.12,US,1714943456
258,international falls,48.6011,-93.411,18.1,32,40,4.12,US,1714943456
259,hadibu,12.65,54.0333,29.59,78,22,1.25,YE,1714943248
260,east london,-33.0153,27.9116,19.14,77,6,3.97,ZA,1714943457
261,yaren,-0.5472,166.916,28.7,73,100,2.52,NR,1714943457
262,khovd,48.0056,91.6419,14.39,19,1,3.47,MN,1714943256
263,nemuro,43.3236,145.575,6.33,97,100,1.09,JP,1714943226
264,shuangjiang,26.1547,109.7138,16.51,93,100,0.27,CN,1714943458
265,howard springs,-12.497,131.047,23.95,81,34,3.47,AU,1714943458
266,victorica,-36.2151,-65.4359,15.05,48,100,6.21,AR,1714943459
267,madikeri,12.4167,75.7333,19.4,99,20,1.36,IN,1714943459
268,millersville,39.9979,-76.3541,16.74,89,100,3.09,US,1714943448
269,hammerfest,70.6634,23.6821,-1.75,86,75,4.63,NO,1714943266
270,sao joaquim,-28.2939,-49.9317,16.36,92,0,0.52,BR,1714943460
271,touros,-5.1989,-35.4608,27.0,83,10,5.89,BR,1714943460
272,pico truncado,-46.7949,-67.9573,5.39,36,49,3.96,AR,1714943223
273,malango,-2.9627,119.9001,19.28,98,100,0.98,ID,1714943209
